Désignation;Référence; PU.HT ;;;;;
GASOIL;; 11,83   ;;;;;
GALLET DE CHENILLE;32A BERCD; 1 300,00   ;;;;;
MANCHETTE;66X27 LG=150 MM 50-55 Sh S/M; 120,00   ;;;;;
FRAIS DE MOULE;66X27 LG=150 MM 50-55 Sh S/M; 3 500,00   ;;;;;
NEZ D'INJECTEUR;JHON DEER 5303/5403/6; 433,33   ;;;;;
CIMENT;CPJ 45 SUR PALETTE; 1 441,67   ;;;;;
TRANSPORT;CPJ 45 SUR PALETTE; 1 500,00   ;;;;;
COUDE ORIENTABLE;"1""1/4 A90°"; 358,91   ;;;;;
POCHETTE DE JOINT;; 1 210,00   ;;;;;
CONTACTEUR DE DEMARRAGE;; 950,00   ;;;;;
EXENTRIQUE;; 220,00   ;;;;;
PALETTE A ACIER;; 300,00   ;;;;;
MAIN D'ŒUVRE;; 400,00   ;;;;;
JOINT A LEVRE;RE505515=RE52346; 500,00   ;;;;;
COURROIE;R01-X42; 650,00   ;;;;;
POMPE IMMERGEE;"96X/23 4"" SAER"; 4 833,33   ;;;;;
POMPE IMMERGEE;"96X/23 4"" SAER"; 4 833,33   ;;;;;
FLOTTEUR DE NIVEAU;3 MTS;;;;;;
VIS;TH 16X180; 36,00   ;;;;;
VIS;BTR 16X60; 18,00   ;;;;;
VIS;TH 20X90; 12,00   ;;;;;
VIS;TH 16X90; 9,00   ;;;;;
ECROU;TH 16; 1,40   ;;;;;
RONDELLE;TH 16; 0,70   ;;;;;
ECROU NYLSTOPE;20MM; 2,50   ;;;;;
ECHANGE DE JOINT;MANETTE; 100,00   ;;;;;
GASOIL;; 11,91   ;;;;;
COUPELLE HYDRAULIQUE;12X20X6; 30,00   ;;;;;
ARRET D'HUILE;85X115X13; 40,00   ;;;;;
ARRET D'HUILE;95X120X12; 40,00   ;;;;;
ELECTRODE;E 312-17 D 4MM CASTOLIN; 330,00   ;;;;;
DISQUE A COUPER;230X3,20; 18,00   ;;;;;
DISQUE A COUPER;230X6,50; 24,00   ;;;;;
DEBIMETRE ELECTROMAGNETIQUE;24V INJECTIONS ET ESSAI D'EAU; 29 000,00   ;;;;;
DEBIMETRE ELECTROMAGNETIQUE;24V INJECTIONS ET ESSAI D'EAU; 29 000,00   ;;;;;
DEBIMETRE ELECTROMAGNETIQUE;24V INJECTIONS ET ESSAI D'EAU; 29 000,00   ;;;;;
INTERCALAIR;12; 20,83   ;;;;;
ENVELOPPE BLANC;115X230; 0,42   ;;;;;
CLASSEUR A LEVIER;SICLA ROUGE; 20,83   ;;;;;
SCOTCH;19X33; 3,33   ;;;;;
FICHE PERSONNEL;; 2,50   ;;;;;
PAPIER BLANC;A4 NAVIGATOR 80G; 56,67   ;;;;;
CONTRÔLE REGLEMENTAIRE;MACHINE MAIT HR 180; 2 500,00   ;;;;;
CONTRÔLE REGLEMENTAIRE;SANY SR 265; 2 500,00   ;;;;;
FRAIS DE DEPLACEMENT;; 1 000,00   ;;;;;
TUBE PEHD;40P10; 9,80   ;;;;;
RACCORD PEHD;"40X1""1/4 MALE"; 25,00   ;;;;;
CORDE EN NYLON;D 12 MM; 5,00   ;;;;;
CABLE ELECTRIQUE SOUPLE;3X2,5MM2; 10,41   ;;;;;
CABLE ELECTRIQUE SOUPLE;3X1,5MM2; 6,67   ;;;;;
ELECTRODE DE NIVEAU;; 23,33   ;;;;;
RESIGNEUSE;; 100,00   ;;;;;
REMISE EN ETAT ECHAPPEMENT;; 2 700,00   ;;;;;
LOCATION CAMION PORTE CHARS;; 9 300,00   ;;;;;
LOCATION CAMION PLATEAU;; 2 500,00   ;;;;;
HUILE;HD 90 202LT; 6 562,50   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;DTE 26 20LT; 1 100,00   ;;;;;
HUILE;DTE 26 20LT; 720,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
HUILE;HD 90 20LT; 652,00   ;;;;;
HUILE;15W40 SUPER 1300 20LT; 704,17   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X1MM2; 6,33   ;;;;;
CONFECTION FLEXIBLE;S/M; 88,15   ;;;;;
DISTRIBUTEUR MANUELLE;3 ELEMENT 95I; 4 063,11   ;;;;;
MANOMETRE;100 BARS D 100; 308,00   ;;;;;
MANOMETRE;60 BARS D 100; 260,00   ;;;;;
CONFECTION FLEXIBLE;"1"" HP LG=0,80 MT-D/C 90°"; 365,26   ;;;;;
RECHARGE CARTE CARBURANT;N°28204236; 5 454,55   ;;;;;
RECHARGE CARTE CARBURANT;N°2174271; 4 545,45   ;;;;;
FILTRE HYDRAULIQUE;1202804093; 980,00   ;;;;;
FILTRE A AIR;2914507700; 2 735,00   ;;;;;
FILTRE A AIR;2914501800; 1 782,75   ;;;;;
HUILE;PAROIL E 20L 1615595400; 1 750,00   ;;;;;
HUILE;PAROIL S 20L 1630016100; 5 000,00   ;;;;;
CONNECTEUR;4P 10A DROIT M/F PLASTIQUE; 126,60   ;;;;;
CONNECTEUR;5P 10A DROIT M/F PLASTIQUE; 129,60   ;;;;;
CONNECTEUR;4P 10A DROIT M/F PLASTIQUE; 126,60   ;;;;;
CONNECTEUR;5P 10A DROIT M/F PLASTIQUE; 129,60   ;;;;;
TUBE PEHD;50PN16; 14,18   ;;;;;
TUBE PEHD;32PN16; 5,92   ;;;;;
CAPTEUR DE PRESSION;S2/20 Ma 2 FILS 8/30 VCC GM 0/60 BARS; 1 500,00   ;;;;;
TUBE GALVANISEE;"1"" SERIE 1"; 68,50   ;;;;;
RACCORD PEHD;"50X2"" MALE"; 92,00   ;;;;;
MAMELON;"2"" NOIR EE"; 46,67   ;;;;;
MANCHON;"2"" NOIR EE"; 47,52   ;;;;;
MANCHON PEHD;50X50; 58,00   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 325,00   ;;;;;
VANNE A BILLE;"2"" SIRAL"; 458,33   ;;;;;
RACCORD PEHD;"50X1""1/2 MALE"; 58,00   ;;;;;
MAMELON;"1""1/2 NOIR EE"; 20,83   ;;;;;
BRIDE;D 960 MM EXT 1500MM EP 5MM; 3 431,63   ;;;;;
FILTRE A GASOIL;1R0751 CAT; 514,94   ;;;;;
FILTRE SEPARATEUR GASOIL;5134490 CAT; 1 139,68   ;;;;;
FILTRE A HUILE;1R1808 CAT; 898,94   ;;;;;
FILTRE A GASOIL;1R0751 CAT; 514,94   ;;;;;
FILTRE SEPARATEUR GASOIL;5134490 CAT; 1 139,68   ;;;;;
FILTRE A HUILE;1R1808 CAT; 898,94   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
CHAUSSURE DE SECURITE;HAUT P40-P41-P42; 240,00   ;;;;;
SCOTCH NOIR;GM; 8,50   ;;;;;
SCOTCH D'EMBALLAGE;50X100; 13,00   ;;;;;
GILET FLUORESCENT;VERT; 23,00   ;;;;;
GILET FLUORESCENT;ORANGE; 23,00   ;;;;;
BOTTE ;VERT; 73,00   ;;;;;
CHAUSSURE DE SECURITE;HAUT P40-P41-P42; 240,00   ;;;;;
COMBINAISON DE TRAVAIL;VESTE ET PANTALLON BONNE QUALITE; 170,00   ;;;;;
CHAUSSURE DE SECURITE;HAUT P40-P41-P42; 240,00   ;;;;;
BOTTE ;P42-P44-P45; 73,00   ;;;;;
DISQUE A COUPER;230X3,20; 18,00   ;;;;;
ELECTRODE;S 2000 3,15; 110,00   ;;;;;
SCOTCH D'EMBALLAGE;50X100; 13,00   ;;;;;
RECHARGE CARTE CARBURANT;N°21742711; 4 545,45   ;;;;;
RECHARGE CARTE CARBURANT;N°28204236; 5 454,55   ;;;;;
POCHETTE DE JOINT;; 1 898,33   ;;;;;
COLLE ;; 51,66   ;;;;;
HERMETIQUE;; 20,83   ;;;;;
FER PLAT;50X3MM EN 6 MT; 61,20   ;;;;;
CABLE ELECTRIQUE SOUPLE;2X2,5MM2; 7,17   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X2,5MM2; 13,17   ;;;;;
RELAIS;14 BROCHES 24V AC; 66,67   ;;;;;
MARTEAU FOND DE TROU;"3"" DHD 3,5 MINCON"; 21 800,00   ;;;;;
TAILLANT A BOUTON ;90 DHD 3,5 MINCON; 4 425,00   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 4 650,00   ;;;;;
CONFECTION FLEXIBLE;"1""1/2 LG= 5000 MM FF"; 999,33   ;;;;;
GASOIL;; 11,83   ;;;;;
POLYAMIDE ;D 40X200 PA6; 33,00   ;;;;;
ACIER ROND;42CD 4 D 130X35MM; 114,75   ;;;;;
FRAIS DE COUPE;; 40,00   ;;;;;
BRIDE;D 180 EP 5MM S235JR; 450,73   ;;;;;
VIROLE;D 810 EXT 950MM EP 5MM; 2 343,36   ;;;;;
JOINT TORIQUE;90X6MM; 13,30   ;;;;;
ARRET D'HUILE;45X62X7; 9,00   ;;;;;
JOINT TORIQUE;46,99X5,33MM; 4,90   ;;;;;
COMPARATEUR ;0-10MM-P0,1MM-60MM; 200,00   ;;;;;
BASE MAGNETIQUE;60KG; 180,00   ;;;;;
BILLE ;D 50MM; 220,00   ;;;;;
GOUSSET DE GUIDE DE CHENILLE;1060X276X20 S275; 1 061,71   ;;;;;
GUIDE DE CHENILLE;115X80X15 S275JR; 22,28   ;;;;;
GASOIL;; 11,83   ;;;;;
JOINT DE CULASSE;REF 61-36160-40 MERCEDES ATEGO 6 CYL; 1 650,00   ;;;;;
CAISSE A CAROTTE;PVC A 5 RANGERS AVEC COUVERCLE; 220,00   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 3 490,00   ;;;;;
REMISE EN ETAT REFREGIRANT D'HUILE;S/M; 1 200,00   ;;;;;
BILLE ;50 MM; 220,00   ;;;;;
BILLE ;50 MM; 220,00   ;;;;;
BILLE ;70MM; 140,00   ;;;;;
ALESAGE ET FILTAGE CARRE;DROIT S/M; 300,00   ;;;;;
CHARIOTAGE ET FILTAGE CARRE ;DROIT S/M; 300,00   ;;;;;
MEMBRANE PVC;FLAGON SR 1,2MM-20 MX2,1 MT; 85,00   ;;;;;
OUTIL;M 8 2525 WWLNR; 350,00   ;;;;;
OUTIL;M 8 S25S MNMG; 450,00   ;;;;;
PLAQUETTE A SOUDER;080408 WNMG; 40,00   ;;;;;
PLAQUETTE A SOUDER;160408; 40,00   ;;;;;
REPARATION FLEXIBLE;JIC 2 COTES FF; 137,80   ;;;;;
CONFECTION FLEXIBLE;"1""1/4 LG=4700 MMD/C 90°"; 1 785,09   ;;;;;
CONFECTION FLEXIBLE;3/4 LG=4600 MM FF METRIC; 460,54   ;;;;;
DISTRIBUTEUR HYDRAULIQUE;S/M; 4 063,11   ;;;;;
LOCATION VEHICULE DE PERSONNEL;PERIODE 01/2024; 442,30   ;;;;;
CONFECTION FLEXIBLE;3/4 LG=5000 MM FF; 368,50   ;;;;;
COUDE ORIENTABLE;3/4MX1/2F; 79,00   ;;;;;
ADAPTEUR ;3/4X1/2; 18,00   ;;;;;
JOINT A GAZ;"1/2"""; 4,50   ;;;;;
VANNE A BILLE;"1""1/2 OMEGA"; 206,50   ;;;;;
CONFECTION FLEXIBLE;"1""1/2 LG= 5000 MM FF"; 1 421,00   ;;;;;
ADAPTEUR;"1""1/2 MM"; 69,00   ;;;;;
TUBE TECALENT;4X6 BLANC; 5,00   ;;;;;
CONFECTION FLEXIBLE;"HP R2 1"" LG=6000 MM M/F BSP"; 676,00   ;;;;;
MANCHON;"1"" NOIR EE"; 14,00   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 185,00   ;;;;;
MAMELON ;"1"" NOIR EE"; 13,00   ;;;;;
MANOMETRE;60 BARS D 100; 190,00   ;;;;;
MANOMETRE;100 BARS D 100; 190,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
CONFECTION FLEXIBLE;3/4 LG=5000 MM FF; 825,23   ;;;;;
COUDE ORIENTABLE;3/4MX1/2F; 121,10   ;;;;;
ADAPTEUR ;3/4X1/2; 28,00   ;;;;;
JOINT A GAZ;"1/2"""; 7,00   ;;;;;
VANNE A BILLE;"1""1/2 OMEGA"; 342,68   ;;;;;
CONFECTION FLEXIBLE;GI; 1 004,82   ;;;;;
ADAPTEUR;"1""1/2 MM"; 110,31   ;;;;;
VIS;BTR 4X45; 2,50   ;;;;;
CHEVILLE METALLIQUE;8X100; 2,50   ;;;;;
VIS;TH 16X140; 18,00   ;;;;;
CONFECTION BLOC;60 CONIQUE F X SQ 146 MX50 CARRE F; 1 300,00   ;;;;;
CONFECTION NIPLE;50 CARRE M X M POUR BLOC; 1 000,00   ;;;;;
CONFECTION TIGE DE VERIN;; 300,00   ;;;;;
CONFECTION TIGE DE VERIN;D 25MM; 200,00   ;;;;;
CONFECTION GOUJON;30X40; 70,00   ;;;;;
TRANSFORMATION DE FIXATION DES PEUSONS;; 200,00   ;;;;;
REFILTAGE D'UN MANCHON;TETE DE ROTATION; 800,00   ;;;;;
CONFECTION D'UN ECROU;130 LG=60 ; 600,00   ;;;;;
CONFECTION MORS;S/M; 500,00   ;;;;;
CONFECTION BRIDE;170 MM; 100,00   ;;;;;
CONFECTION REDUCTION;50 CARRE M X 60 F CONIQUE; 1 200,00   ;;;;;
CONFECTION PIGNON;178X76X60, AVEC TRAITEMENT ; 1 600,00   ;;;;;
CONFECTION PIGNON;102X40X65 AVEC TRAITEMNT; 1 100,00   ;;;;;
CONFECTION D'UNE BAGUE D'USURE;S/M AVEC TRAITEMENT; 300,00   ;;;;;
CONFECTION D'UN ECROU DE GRAISSAGE;S/M AVEC TRAITEMENT; 600,00   ;;;;;
LOCATION CHARIOT ELEVATEUR;TELESCOPIQUE 14MT JCB; 800,00   ;;;;;
VALVE HYDRAULIQUE;RH10001-24V; 3 520,33   ;;;;;
EMBASE;FLP10/01; 1 863,68   ;;;;;
MOTEUR;90M55 SAUER; 7 000,00   ;;;;;
MOTEUR;SAUER 90M55; 7 000,00   ;;;;;
OBTURATEUR SIMPLE;R 84 LG=1000 MM; 7 735,75   ;;;;;
DISQUE A COUPER;230X3,20; 18,00   ;;;;;
DISQUE A COUPER;230X6,50; 24,00   ;;;;;
ELECTRODE;S 2000 3,15; 110,00   ;;;;;
CHAUSSURE DE SECURITE;BASSE P42-P43; 240,00   ;;;;;
COMBINAISON DE TRAVAIL;VESTE ET PANTALLON BONNE QUALITE; 170,00   ;;;;;
GANT EN CUIR;DOKER; 22,00   ;;;;;
GILET FLUORESCENT;JAUNE; 23,00   ;;;;;
GILET FLUORESCENT;JAUNE; 23,00   ;;;;;
MANCHON;12*12 BSP JIC; 53,00   ;;;;;
LIMITEUR DE DEBIT HYDRAULIQUE;"1/2"""; 850,00   ;;;;;
LIMITEUR DE PRESSION;"3/8"""; 1 510,00   ;;;;;
CONFECTION FLEXIBLE;1/4 LG= 900 MM D/90°; 177,00   ;;;;;
GROSSESSEUR;10 MALE JIC; 62,00   ;;;;;
MANCHON;3/4 S/LM; 108,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
TRANSPORT;; 1 500,00   ;;;;;
TRAVAUX DE GALVANISATION;FER PLAT 50 EP 3MM EN 6000MM; 4,90   ;;;;;
ARRET D'HUILE;105X130X12; 50,00   ;;;;;
ROULEMENT A BILLE;6015 C3; 180,00   ;;;;;
ROULEMENT A BILLE;7218 B ROLLWAY; 800,00   ;;;;;
ROULEMENT A BILLE;6306 ZZ C3 ROLLWAY; 56,40   ;;;;;
ROULEMENT A BUTEE;51205 ROLLWAY; 61,80   ;;;;;
ROULEMENT A BILLE;6005 ZZ ROLLWAY; 27,00   ;;;;;
RECHARGE CARTE CARBURANT;N°2474694; 5 454,55   ;;;;;
GASOIL;; 11,79   ;;;;;
OBTURATEUR SIMPLE;R 84 LG=1000 MM; 7 735,75   ;;;;;
COURONNE IMPREGNEE;76T2 A6; 3 145,00   ;;;;;
FOURNITURE ET CABLAGE D'UN COFFRET ;INGELEC; 8 500,00   ;;;;;
CONFECTION DE TETE ;S/M; 3 000,00   ;;;;;
CONFECTION REDUCTION;60 CONIQUE MALE  LG=160MM; 600,00   ;;;;;
CONFECTION REDUCTION;55 CONIQUE F X 60 CONIQUE MALE; 1 200,00   ;;;;;
CONFECTION DE BAGUE;S/M; 400,00   ;;;;;
CONFECTION DE BAGUE;90X60X64; 200,00   ;;;;;
CONFECTION DE BAGUE;85X85X64; 250,00   ;;;;;
CONFECTION AXE;64 LG=400MM; 700,00   ;;;;;
CONFECTION AXE;64 LG=480MM; 800,00   ;;;;;
CONFECTION DE BAGUE;120X110X64; 600,00   ;;;;;
TIRE FORT;CAP 5,4 TONNES AVEC 20 MT DE CABLE; 8 500,00   ;;;;;
FILTRE HYDRAULIQUE;6173A; 450,00   ;;;;;
FILTRE A AIR;25502A2; 848,50   ;;;;;
FILTRE ;25503A2; 498,00   ;;;;;
TONER;HP LASER 205A NOIR CF530; 513,33   ;;;;;
TONER;HP LASER 205A BLEU CF533; 683,33   ;;;;;
TONER;HP LASER 205A JAUNE CF532; 683,33   ;;;;;
TONER;HP LASER 205A ROSE CF533; 683,33   ;;;;;
TONER;HP LASER 126A CE310 NOIR ADAPTABLE; 150,00   ;;;;;
TONER;HP LASER 126A CE311 BLEU ADAPTABLE; 150,00   ;;;;;
TONER;HP LASER 126A CE312 JAUNE ADAPTABLE; 150,00   ;;;;;
TONER;HP LASER 126A CE312 ROSE ADAPTABLE; 150,00   ;;;;;
TONER;HP LASER 85A ADAPTABLE; 125,00   ;;;;;
TONER;HP LASER A 106A; 632,50   ;;;;;
POMPE A EAU;CUMMINS; 1 400,00   ;;;;;
COURROIE;CUMMINS; 350,00   ;;;;;
GASOIL;; 11,91   ;;;;;
ACIER ROND;42CD 4 D 105 LG=980MM; 1 800,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
MASQUE ANTI-POUSSIERE SOUPAPE;; 6,50   ;;;;;
CASQUE DE PROTECTION;; 23,00   ;;;;;
RUBEN DE SIGNALISATION;BLANC; 36,00   ;;;;;
CLE A PIPE;30; 200,00   ;;;;;
CLE A PIPE;32; 220,00   ;;;;;
CAPTEUR DE NIVEAU ;1089065903 LEVEL SENSOR; 2 050,00   ;;;;;
DEPLACEMENT ET MAIN D'ŒUVRE;; 7 500,00   ;;;;;
IMPRIMANTE;HP LASERJET M236W MFP A4(VNH5T13739); 2 158,34   ;;;;;
TONER;HP 136A D'ORIGINE HP211 M236 NOIR; 632,80   ;;;;;
BAGUE D'ETANCHEITE;28x40x6 HP; 1 200,00   ;;;;;
SIKAFLUID;R VRAC; 12,15   ;;;;;
SIKAFLUID;R VRAC; 12,15   ;;;;;
GASOIL;; 11,82   ;;;;;
GASOIL;; 11,83   ;;;;;
TARRAUD;M5; 60,00   ;;;;;
TUBE RODE;110X130X250MM; 3 000,00   ;;;;;
TUBE RODE;110X130X250MM; 3 000,00   ;;;;;
ROULEMENT A AIGUILLE;20/20 NK CMB; 40,00   ;;;;;
CIMENT;CPJ 45 SUR PALLETTE; 1 441,67   ;;;;;
RELAIS;24V DC OMRON; 184,00   ;;;;;
SOCLE POUR RELAIS;MK3P OMRON; 61,00   ;;;;;
DETECTEUR DE PROXIMITE INDUCATIF;WP-B3 2M m18; 580,00   ;;;;;
CONNECTEUR;M12 4 FILS DROIT 2; 102,00   ;;;;;
ACIER ROND;42CD 4 45X1000MM; 344,25   ;;;;;
ACIER ROND;42CD 4 85X25MM; 36,90   ;;;;;
FONTE ROND;FT25 110X30MM; 74,00   ;;;;;
ALUMINIUM ROND;100X145MM; 437,00   ;;;;;
ACIER ROND;XC42 100X40MM; 61,60   ;;;;;
TIGE CHROME;25X440MM; 91,00   ;;;;;
TIGE CHROME;32X450MM; 112,50   ;;;;;
ACIER ROND;42CD 4 100X40MM; 81,00   ;;;;;
FRAIS DE COUPE;; 500,00   ;;;;;
CHARGE ET VERIFICATION EXTINCTEUR;POUDRE SECHE 10KG; 140,00   ;;;;;
CASQUE DE PROTECTION;BLEU; 23,00   ;;;;;
CASQUE DE PROTECTION;BLANC; 23,00   ;;;;;
